nohup: 入力を無視します
GPU name: NVIDIA GeForce RTX 3090, gpu_id: 0
cuda
{'nb_nodes': 20, 'bsz': 512, 'dim_emb': 128, 'dim_ff': 512, 'dim_input_nodes': 2, 'nb_layers_encoder': 6, 'nb_layers_decoder': 2, 'nb_heads': 8, 'nb_epochs': 10000, 'nb_batch_per_epoch': 2500, 'nb_batch_eval': 5, 'gpu_id': '0', 'lr': 0.0001, 'tol': 0.001, 'batchnorm': True, 'max_len_PE': 1000}
nb of nodes : 20
1
{'nb_nodes': 20, 'bsz': 512, 'dim_emb': 128, 'dim_ff': 512, 'dim_input_nodes': 2, 'nb_layers_encoder': 6, 'nb_layers_decoder': 2, 'nb_heads': 8, 'nb_epochs': 10000, 'nb_batch_per_epoch': 2500, 'nb_batch_eval': 5, 'gpu_id': '0', 'lr': 0.0001, 'tol': 0.001, 'batchnorm': True, 'max_len_PE': 1000}
mkdir: ディレクトリ `logs' を作成できません: ファイルが存在します

Epoch: 75, epoch time: 6.415min, tot time: 0.343day, L_train: 3.883, L_base: 3.883, L_test: 3.875, gap_train(%): -100.000, update: False
Epoch: 76, epoch time: 6.458min, tot time: 0.348day, L_train: 3.878, L_base: 3.877, L_test: 3.875, gap_train(%): -100.000, update: False
Epoch: 77, epoch time: 6.466min, tot time: 0.352day, L_train: 3.878, L_base: 3.881, L_test: 3.873, gap_train(%): -100.000, update: True
Epoch: 78, epoch time: 6.464min, tot time: 0.357day, L_train: 3.883, L_base: 3.882, L_test: 3.873, gap_train(%): -100.000, update: False
Epoch: 79, epoch time: 6.557min, tot time: 0.361day, L_train: 3.869, L_base: 3.870, L_test: 3.873, gap_train(%): -100.000, update: True
Epoch: 80, epoch time: 6.581min, tot time: 0.366day, L_train: 3.873, L_base: 3.873, L_test: 3.873, gap_train(%): -100.000, update: False
Epoch: 81, epoch time: 6.584min, tot time: 0.370day, L_train: 3.873, L_base: 3.875, L_test: 3.872, gap_train(%): -100.000, update: True
Epoch: 82, epoch time: 6.565min, tot time: 0.375day, L_train: 3.870, L_base: 3.871, L_test: 3.872, gap_train(%): -100.000, update: False
Epoch: 83, epoch time: 6.535min, tot time: 0.380day, L_train: 3.870, L_base: 3.870, L_test: 3.872, gap_train(%): -100.000, update: False
Epoch: 84, epoch time: 6.559min, tot time: 0.384day, L_train: 3.879, L_base: 3.877, L_test: 3.872, gap_train(%): -100.000, update: False
Epoch: 85, epoch time: 6.528min, tot time: 0.389day, L_train: 3.880, L_base: 3.880, L_test: 3.872, gap_train(%): -100.000, update: False
Epoch: 86, epoch time: 6.530min, tot time: 0.393day, L_train: 3.874, L_base: 3.876, L_test: 3.872, gap_train(%): -100.000, update: True
Epoch: 87, epoch time: 6.532min, tot time: 0.398day, L_train: 3.880, L_base: 3.879, L_test: 3.872, gap_train(%): -100.000, update: False
Epoch: 88, epoch time: 6.546min, tot time: 0.402day, L_train: 3.871, L_base: 3.872, L_test: 3.872, gap_train(%): -100.000, update: False
Epoch: 89, epoch time: 6.574min, tot time: 0.407day, L_train: 3.873, L_base: 3.875, L_test: 3.869, gap_train(%): -100.000, update: True
Epoch: 90, epoch time: 6.550min, tot time: 0.411day, L_train: 3.876, L_base: 3.878, L_test: 3.871, gap_train(%): -100.000, update: True
Epoch: 91, epoch time: 6.532min, tot time: 0.416day, L_train: 3.871, L_base: 3.870, L_test: 3.871, gap_train(%): -100.000, update: False
Epoch: 92, epoch time: 6.561min, tot time: 0.420day, L_train: 3.873, L_base: 3.873, L_test: 3.871, gap_train(%): -100.000, update: False
Epoch: 93, epoch time: 6.582min, tot time: 0.425day, L_train: 3.881, L_base: 3.880, L_test: 3.871, gap_train(%): -100.000, update: False
Epoch: 94, epoch time: 6.581min, tot time: 0.430day, L_train: 3.872, L_base: 3.872, L_test: 3.871, gap_train(%): -100.000, update: False
Epoch: 95, epoch time: 6.580min, tot time: 0.434day, L_train: 3.868, L_base: 3.867, L_test: 3.871, gap_train(%): -100.000, update: False
Epoch: 96, epoch time: 6.485min, tot time: 0.439day, L_train: 3.875, L_base: 3.873, L_test: 3.871, gap_train(%): -100.000, update: False
Epoch: 97, epoch time: 6.487min, tot time: 0.443day, L_train: 3.861, L_base: 3.865, L_test: 3.869, gap_train(%): -100.000, update: True
Epoch: 98, epoch time: 6.541min, tot time: 0.448day, L_train: 3.874, L_base: 3.873, L_test: 3.869, gap_train(%): -100.000, update: False
Epoch: 99, epoch time: 6.473min, tot time: 0.452day, L_train: 3.874, L_base: 3.872, L_test: 3.869, gap_train(%): -100.000, update: False
Epoch: 100, epoch time: 6.462min, tot time: 0.457day, L_train: 3.874, L_base: 3.872, L_test: 3.869, gap_train(%): -100.000, update: False
Epoch: 101, epoch time: 6.550min, tot time: 0.461day, L_train: 3.872, L_base: 3.873, L_test: 3.869, gap_train(%): -100.000, update: True
Epoch: 102, epoch time: 6.589min, tot time: 0.466day, L_train: 3.876, L_base: 3.876, L_test: 3.869, gap_train(%): -100.000, update: False
Epoch: 103, epoch time: 6.579min, tot time: 0.470day, L_train: 3.875, L_base: 3.875, L_test: 3.869, gap_train(%): -100.000, update: False
Epoch: 104, epoch time: 6.590min, tot time: 0.475day, L_train: 3.870, L_base: 3.870, L_test: 3.869, gap_train(%): -100.000, update: False
Epoch: 105, epoch time: 6.586min, tot time: 0.480day, L_train: 3.872, L_base: 3.869, L_test: 3.869, gap_train(%): -100.000, update: False
Epoch: 106, epoch time: 6.589min, tot time: 0.484day, L_train: 3.883, L_base: 3.883, L_test: 3.869, gap_train(%): -100.000, update: False
Epoch: 107, epoch time: 6.546min, tot time: 0.489day, L_train: 3.867, L_base: 3.868, L_test: 3.872, gap_train(%): -100.000, update: True
Epoch: 108, epoch time: 6.456min, tot time: 0.493day, L_train: 3.867, L_base: 3.867, L_test: 3.872, gap_train(%): -100.000, update: False
Epoch: 109, epoch time: 6.454min, tot time: 0.498day, L_train: 3.876, L_base: 3.877, L_test: 3.869, gap_train(%): -100.000, update: True
Epoch: 110, epoch time: 6.455min, tot time: 0.502day, L_train: 3.867, L_base: 3.867, L_test: 3.869, gap_train(%): -100.000, update: False
Epoch: 111, epoch time: 6.563min, tot time: 0.507day, L_train: 3.861, L_base: 3.862, L_test: 3.869, gap_train(%): -100.000, update: False
Epoch: 112, epoch time: 6.590min, tot time: 0.511day, L_train: 3.861, L_base: 3.861, L_test: 3.869, gap_train(%): -100.000, update: False
Epoch: 113, epoch time: 6.478min, tot time: 0.516day, L_train: 3.874, L_base: 3.875, L_test: 3.869, gap_train(%): -100.000, update: False
